HIERARCHY_ID,FATHER_HIERARCHY_LEVEL_NO,FATHER_STR_ID,FATHER_STR_REF,HIERARCHY_LEVEL_NO,STR_ID,STR_REF
PAYROLL, , , ,01,AGENCY,01003724
PAYROLL, , , ,01,BARNET 15,01000104
PAYROLL, , , ,01,BARNET WK,01000106
PAYROLL, , , ,01,CLAIMAR28,01002527
PAYROLL, , , ,01,CLAIMAR5,01002528
PAYROLL, , , ,01,CLAIMARHO5,01002591
PAYROLL, , , ,01,FIRSTCAL28,01002590
PAYROLL, , , ,01,GOLDCG,01003756
PAYROLL, , , ,01,GURNSEY15,01002207
PAYROLL, , , ,01,GURNSEY28,01002206
PAYROLL, , , ,01,KICKM28,01003951
PAYROLL, , , ,01,LEAVER,01003923
PAYROLL, , , ,01,MONTHLY15,00000860
PAYROLL, , , ,01,Monthly20P,00001934
PAYROLL, , , ,01,MONTHLY28,00000862
PAYROLL, , , ,01,MONTHLYEH,01003048
PAYROLL, , , ,01,NWCSWKLY,00002016
PAYROLL, , , ,01,OFFPAYM,01003911
PAYROLL, , , ,01,SURECARE28,01002589
PAYROLL, , , ,01,WEEKLY,01002466
PAYROLL, , , ,01,WEEKLYCG,01003045
PAYROLL, , , ,01,WEEKLYEH,01003047
PAYROLL, , , ,01,WEEKLYWB,01003046
PAYROLL,01,AGENCY,01003724,10,AGENCYPG,01003725
PAYROLL,01,BARNET 15,01000104,10,CARE DIRE,01000105
PAYROLL,01,BARNET WK,01000106,10,CARE DIR W,01000125
PAYROLL,01,CLAIMAR28,01002527,30,CLFIN28TH,01002578
PAYROLL,01,CLAIMAR28,01002527,30,CLLIVEIN28,01002579
PAYROLL,01,CLAIMAR28,01002527,30,CLPCS,01002566
PAYROLL,01,CLAIMAR5,01002528,30,CL6601,01002530
PAYROLL,01,CLAIMAR5,01002528,30,CL6603,01002531
PAYROLL,01,CLAIMAR5,01002528,30,CL6604,01002532
PAYROLL,01,CLAIMAR5,01002528,30,CL6608,01002533
PAYROLL,01,CLAIMAR5,01002528,30,CL6613,01002534
PAYROLL,01,CLAIMAR5,01002528,30,CL6615,01002535
PAYROLL,01,CLAIMAR5,01002528,30,CL6618,01002537
PAYROLL,01,CLAIMAR5,01002528,30,CL6619,01002538
PAYROLL,01,CLAIMAR5,01002528,30,CL6622,01002539
PAYROLL,01,CLAIMAR5,01002528,30,CL6623,01002540
PAYROLL,01,CLAIMAR5,01002528,30,CL6624,01002541
PAYROLL,01,CLAIMAR5,01002528,30,CL6625,01002542
PAYROLL,01,CLAIMAR5,01002528,30,CL6626,01002543
PAYROLL,01,CLAIMAR5,01002528,30,CL6630,01002544
PAYROLL,01,CLAIMAR5,01002528,30,CL6633,01002545
PAYROLL,01,CLAIMAR5,01002528,30,CL6634,01002546
PAYROLL,01,CLAIMAR5,01002528,30,CL6637,01002547
PAYROLL,01,CLAIMAR5,01002528,30,CL6638,01002548
PAYROLL,01,CLAIMAR5,01002528,30,CL6639,01002549
PAYROLL,01,CLAIMAR5,01002528,30,CL6640,01002550
PAYROLL,01,CLAIMAR5,01002528,30,CL6643,01002551
PAYROLL,01,CLAIMAR5,01002528,30,CL6646,01002552
PAYROLL,01,CLAIMAR5,01002528,30,CL6650,01002553
PAYROLL,01,CLAIMAR5,01002528,30,CL6651,01002554
PAYROLL,01,CLAIMAR5,01002528,30,CL6652,01002555
PAYROLL,01,CLAIMAR5,01002528,30,CL6653,01002556
PAYROLL,01,CLAIMAR5,01002528,30,CL6654,01002557
PAYROLL,01,CLAIMAR5,01002528,30,CL6655,01002558
PAYROLL,01,CLAIMARHO5,01002591,30,CLCAREDIR,01002559
PAYROLL,01,CLAIMARHO5,01002591,30,CLFINANCE,01002560
PAYROLL,01,CLAIMARHO5,01002591,30,CLHROD,01002562
PAYROLL,01,CLAIMARHO5,01002591,30,CLICT,01002563
PAYROLL,01,CLAIMARHO5,01002591,30,CLLIVEIN,01002564
PAYROLL,01,CLAIMARHO5,01002591,30,CLOFFSERV,01002565
PAYROLL,01,CLAIMARHO5,01002591,30,CLPCS5TH,01002575
PAYROLL,01,CLAIMARHO5,01002591,30,CLPHARM,01002567
PAYROLL,01,CLAIMARHO5,01002591,30,CLQUAL,01002568
PAYROLL,01,CLAIMARHO5,01002591,30,CLSERVDEV,01002569
PAYROLL,01,CLAIMARHO5,01002591,30,CLSTRATDEV,01002570
