division,events.bunting,events.date,events.notes,events.title
england-and-wales,FALSE,2018-03-30,"",Good Friday
england-and-wales,FALSE,2019-04-19,"",Good Friday
england-and-wales,FALSE,2020-04-10,"",Good Friday
england-and-wales,FALSE,2020-04-13,"",Easter Monday
england-and-wales,FALSE,2021-04-02,"",Good Friday
england-and-wales,FALSE,2022-04-15,"",Good Friday
england-and-wales,FALSE,2022-09-19,"",Bank Holiday for the State Funeral of Queen Elizabeth II
england-and-wales,FALSE,2023-04-07,"",Good Friday
england-and-wales,FALSE,2024-03-29,"",Good Friday
england-and-wales,FALSE,2025-04-18,"",Good Friday
england-and-wales,TRUE,2018-01-01,"",New Year’s Day
england-and-wales,TRUE,2018-04-02,"",Easter Monday
england-and-wales,TRUE,2018-05-07,"",Early May bank holiday
england-and-wales,TRUE,2018-05-28,"",Spring bank holiday
england-and-wales,TRUE,2018-08-27,"",Summer bank holiday
england-and-wales,TRUE,2018-12-25,"",Christmas Day
england-and-wales,TRUE,2018-12-26,"",Boxing Day
england-and-wales,TRUE,2019-01-01,"",New Year’s Day
england-and-wales,TRUE,2019-04-22,"",Easter Monday
england-and-wales,TRUE,2019-05-06,"",Early May bank holiday
england-and-wales,TRUE,2019-05-27,"",Spring bank holiday
england-and-wales,TRUE,2019-08-26,"",Summer bank holiday
england-and-wales,TRUE,2019-12-25,"",Christmas Day
england-and-wales,TRUE,2019-12-26,"",Boxing Day
england-and-wales,TRUE,2020-01-01,"",New Year’s Day
england-and-wales,TRUE,2020-05-08,"",Early May bank holiday (VE day)
england-and-wales,TRUE,2020-05-25,"",Spring bank holiday
england-and-wales,TRUE,2020-08-31,"",Summer bank holiday
england-and-wales,TRUE,2020-12-25,"",Christmas Day
england-and-wales,TRUE,2020-12-28,Substitute day,Boxing Day
england-and-wales,TRUE,2021-01-01,"",New Year’s Day
england-and-wales,TRUE,2021-04-05,"",Easter Monday
england-and-wales,TRUE,2021-05-03,"",Early May bank holiday
england-and-wales,TRUE,2021-05-31,"",Spring bank holiday
england-and-wales,TRUE,2021-08-30,"",Summer bank holiday
england-and-wales,TRUE,2021-12-27,Substitute day,Christmas Day
england-and-wales,TRUE,2021-12-28,Substitute day,Boxing Day
england-and-wales,TRUE,2022-01-03,Substitute day,New Year’s Day
england-and-wales,TRUE,2022-04-18,"",Easter Monday
england-and-wales,TRUE,2022-05-02,"",Early May bank holiday
england-and-wales,TRUE,2022-06-02,"",Spring bank holiday
england-and-wales,TRUE,2022-06-03,"",Platinum Jubilee bank holiday
england-and-wales,TRUE,2022-08-29,"",Summer bank holiday
england-and-wales,TRUE,2022-12-26,"",Boxing Day
england-and-wales,TRUE,2022-12-27,Substitute day,Christmas Day
england-and-wales,TRUE,2023-01-02,Substitute day,New Year’s Day
